epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,3873.81,1.53826,1.48349,1.37829,0.566,0.5,0.48526,0.18748,2.33003,3.17801,2.09048,0.000657625,0.000657625,0.000657625
85,3919.46,1.44216,1.45796,1.30509,0.64075,0.48659,0.56606,0.23417,2.40795,3.47022,2.17336,0.0006535,0.0006535,0.0006535
86,3966.03,1.44632,1.35695,1.25301,0.756,0.49309,0.59895,0.28237,2.13349,4.41674,1.98654,0.000649375,0.000649375,0.000649375
87,4012.31,1.48645,1.44124,1.30236,0.88601,0.61364,0.66062,0.32265,1.97292,2.9158,1.88177,0.00064525,0.00064525,0.00064525
88,4058.39,1.55051,1.46345,1.27262,0.8471,0.6297,0.67087,0.31028,1.9347,4.49763,1.83671,0.000641125,0.000641125,0.000641125
89,4105.15,1.38177,1.2755,1.30022,0.65359,0.59091,0.62726,0.29072,2.19575,4.04517,1.95278,0.000637,0.000637,0.000637
90,4153.51,1.48885,1.36845,1.39234,0.55523,0.48242,0.487,0.22806,2.3677,4.29229,2.07677,0.000632875,0.000632875,0.000632875
91,4201.95,1.51137,1.35785,1.3204,0.41154,0.5,0.39274,0.14569,2.55298,11.0836,2.29523,0.00062875,0.00062875,0.00062875
92,4250.33,1.55582,1.51065,1.39526,0.35609,0.61364,0.58106,0.2327,2.09582,9.58057,1.9407,0.000624625,0.000624625,0.000624625
93,4298.08,1.46981,1.28744,1.29932,0.55943,0.59091,0.57606,0.23586,2.14857,4.42224,1.99636,0.0006205,0.0006205,0.0006205
94,4346.09,1.41096,1.33986,1.26429,0.86155,0.4245,0.58244,0.22815,2.54108,3.25997,2.31714,0.000616375,0.000616375,0.000616375
95,4395.55,1.46766,1.38022,1.33374,0.65726,0.59091,0.63403,0.26477,2.41296,5.15796,1.9398,0.00061225,0.00061225,0.00061225
96,4445.58,1.5038,1.45538,1.30736,0.41517,0.5,0.43911,0.15826,2.58001,4.23998,2.05197,0.000608125,0.000608125,0.000608125
97,4494.57,1.46289,1.36743,1.33298,0.34786,0.5,0.38771,0.18934,2.31557,6.11325,1.88571,0.000604,0.000604,0.000604
98,4542.49,1.41018,1.30173,1.29455,0.74607,0.52273,0.59009,0.27818,2.15624,5.76824,1.80557,0.000599875,0.000599875,0.000599875
99,4589.17,1.43649,1.3226,1.22155,0.26556,0.47727,0.31912,0.14896,2.24308,6.67502,1.88177,0.00059575,0.00059575,0.00059575
100,4635.76,1.30266,1.20324,1.25999,0.2821,0.38636,0.2591,0.10769,2.40847,8.05538,2.04199,0.000591625,0.000591625,0.000591625
101,4684.07,1.46823,1.36573,1.31286,0.27916,0.65909,0.56532,0.24551,2.03269,17.8578,1.9124,0.0005875,0.0005875,0.0005875
102,4733.79,1.53664,1.36444,1.36015,0.73188,0.63636,0.65304,0.32226,2.03709,5.43694,1.93886,0.000583375,0.000583375,0.000583375
103,4782.47,1.43681,1.40567,1.28339,0.36411,0.63636,0.51237,0.20987,2.04503,10.4788,2.00407,0.00057925,0.00057925,0.00057925
104,4832.61,1.48929,1.34499,1.35832,0.47015,0.63636,0.59013,0.25468,1.97093,7.40412,1.89845,0.000575125,0.000575125,0.000575125
105,4879.31,1.4588,1.30621,1.26687,0.55299,0.54545,0.56286,0.24272,2.07745,5.39217,1.99153,0.000571,0.000571,0.000571
106,4927.08,1.37637,1.29119,1.22364,0.4424,0.65909,0.58755,0.29539,1.99516,8.47731,1.92426,0.000566875,0.000566875,0.000566875
107,4976.42,1.39928,1.29278,1.27486,0.34584,0.65909,0.62731,0.33118,1.90682,11.1224,1.81016,0.00056275,0.00056275,0.00056275
108,5025.55,1.46482,1.28577,1.25939,0.52156,0.63636,0.57756,0.30834,2.0617,7.12022,1.8815,0.000558625,0.000558625,0.000558625
109,5080.89,1.45455,1.28046,1.2859,0.615,0.65909,0.59608,0.29019,2.18376,3.65164,1.99198,0.0005545,0.0005545,0.0005545
110,5130.86,1.43151,1.28866,1.27329,0.52145,0.65909,0.62809,0.32147,1.92986,7.21254,1.78953,0.000550375,0.000550375,0.000550375
111,5179.02,1.48207,1.3003,1.24532,0.52942,0.63928,0.65723,0.337,1.85964,6.56193,1.76083,0.00054625,0.00054625,0.00054625
112,5227.01,1.4218,1.34386,1.25401,0.57828,0.61364,0.61635,0.30038,2.01938,5.33391,1.88133,0.000542125,0.000542125,0.000542125
113,5274.25,1.41363,1.28182,1.24054,0.31624,0.65909,0.52715,0.22971,2.06846,11.9386,1.96969,0.000538,0.000538,0.000538
114,5321.43,1.39631,1.2402,1.29586,0.17509,0.65909,0.51644,0.22111,1.93849,32.2437,1.97538,0.000533875,0.000533875,0.000533875
115,5368.8,1.37847,1.2198,1.27954,0.42113,0.49609,0.47731,0.23462,2.00012,6.66213,1.969,0.00052975,0.00052975,0.00052975
116,5416.46,1.4286,1.29944,1.24597,0.25525,0.59091,0.46117,0.20359,1.94002,15.6753,1.90816,0.000525625,0.000525625,0.000525625
117,5464.72,1.44582,1.36778,1.28577,0.92857,0.29545,0.48834,0.22459,1.83037,35.8457,1.80277,0.0005215,0.0005215,0.0005215
118,5512.34,1.33254,1.34058,1.27948,0.23086,0.65909,0.56648,0.26818,1.88099,15.7136,1.83385,0.000517375,0.000517375,0.000517375
119,5562.01,1.465,1.21786,1.25676,0.26659,0.68182,0.54779,0.25918,1.83876,13.4228,1.82715,0.00051325,0.00051325,0.00051325
120,5612.39,1.44681,1.28445,1.25314,0.26475,0.68182,0.50239,0.21265,2.10333,13.0046,1.91019,0.000509125,0.000509125,0.000509125
121,5662.34,1.55804,1.38162,1.2941,0.29737,0.65909,0.57299,0.19903,2.28267,12.9922,2.1442,0.000505,0.000505,0.000505
122,5713.36,1.49913,1.33792,1.26259,0.2462,0.65909,0.62528,0.28687,2.131,14.2844,1.9265,0.000500875,0.000500875,0.000500875
123,5762.87,1.38272,1.19909,1.27596,0.29141,0.65909,0.65075,0.31584,1.91909,11.5259,1.84049,0.00049675,0.00049675,0.00049675
124,5810.67,1.40487,1.25867,1.25805,0.20916,0.65909,0.61718,0.29902,1.85293,16.9387,1.77525,0.000492625,0.000492625,0.000492625
125,5857.97,1.34174,1.23344,1.16507,0.21232,0.68182,0.62392,0.33039,1.79017,18.3362,1.74504,0.0004885,0.0004885,0.0004885
126,5905.56,1.39555,1.21048,1.24562,0.34899,0.63636,0.61771,0.31609,1.80726,10.8457,1.76502,0.000484375,0.000484375,0.000484375
127,5954.19,1.36546,1.2002,1.28455,0.36053,0.63636,0.56602,0.28015,1.85584,11.868,1.87321,0.00048025,0.00048025,0.00048025
128,6003.67,1.41737,1.31652,1.26116,0.32095,0.65909,0.60559,0.30733,1.83646,11.7814,1.85764,0.000476125,0.000476125,0.000476125
129,6054.12,1.38281,1.28893,1.20636,0.27082,0.63636,0.56515,0.286,1.93875,12.5285,1.85768,0.000472,0.000472,0.000472
130,6104.36,1.38251,1.25452,1.29866,0.49922,0.56818,0.58128,0.26859,2.07059,6.20328,1.84464,0.000467875,0.000467875,0.000467875
131,6154.91,1.40104,1.23519,1.24211,0.71381,0.56818,0.65538,0.31256,2.14992,3.26055,1.86126,0.00046375,0.00046375,0.00046375
132,6202.19,1.34076,1.13824,1.22548,0.54252,0.65909,0.6034,0.29723,1.91929,6.26802,1.7775,0.000459625,0.000459625,0.000459625
133,6249.57,1.43339,1.32379,1.29192,0.48385,0.59091,0.58092,0.29093,1.89755,7.9359,1.77391,0.0004555,0.0004555,0.0004555
134,6297.53,1.3493,1.18781,1.24725,0.5059,0.5,0.5394,0.27123,2.10094,5.83288,1.90967,0.000451375,0.000451375,0.000451375
135,6344.6,1.41515,1.31009,1.25582,0.52012,0.56818,0.55786,0.27328,2.05597,7.68177,1.88636,0.00044725,0.00044725,0.00044725
136,6391.95,1.40339,1.20775,1.20293,0.36889,0.59091,0.49695,0.24211,2.03355,10.9864,1.78159,0.000443125,0.000443125,0.000443125
137,6439.53,1.25973,1.13281,1.21836,0.51966,0.61364,0.51416,0.25135,2.19707,7.0657,1.84335,0.000439,0.000439,0.000439
138,6486.96,1.27003,1.12541,1.19585,0.4556,0.63636,0.49326,0.22913,2.00357,7.66669,1.79492,0.000434875,0.000434875,0.000434875
