epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1675.09,1.91806,1.97005,2.11876,0.6739,0.40909,0.40143,0.1999,2.41318,1.94013,2.28697,0.00226629,0.00226629,0.00226629
82,1695.55,1.98524,1.93096,2.19152,0.67973,0.5,0.45805,0.20124,2.36586,1.80823,2.35631,0.0022148,0.0022148,0.0022148
83,1716.24,1.97928,1.9254,2.16082,0.74813,0.40518,0.45755,0.25506,2.08184,1.97139,2.17412,0.00216344,0.00216344,0.00216344
84,1736.92,1.995,1.91242,2.1086,0.61533,0.45455,0.44825,0.2748,2.17602,1.92105,2.16117,0.00211225,0.00211225,0.00211225
85,1757.55,1.90675,1.85035,2.11637,0.99178,0.45455,0.52212,0.30932,2.07337,1.82709,2.09546,0.00206123,0.00206123,0.00206123
86,1778.53,1.99121,2.05006,2.20205,0.90047,0.41136,0.51025,0.28254,2.16227,1.62257,2.18195,0.00201042,0.00201042,0.00201042
87,1799.38,1.98223,2.01319,2.21593,0.54571,0.43692,0.39727,0.21252,2.1986,1.92869,2.20143,0.00195983,0.00195983,0.00195983
88,1819.96,1.92755,1.83387,2.08802,0.54807,0.43182,0.44565,0.24706,2.2118,2.29585,2.25516,0.00190949,0.00190949,0.00190949
89,1840.67,1.91546,1.90593,2.08537,0.36106,0.25,0.23975,0.07779,2.85186,2.2891,2.99887,0.00185942,0.00185942,0.00185942
90,1861.86,1.94609,1.87515,2.10026,0.613,0.45455,0.437,0.24312,2.2868,1.73194,2.35249,0.00180965,0.00180965,0.00180965
91,1882.38,1.91509,1.98777,2.1122,0.68775,0.40068,0.43832,0.25024,2.12973,1.75185,2.22023,0.00176018,0.00176018,0.00176018
92,1902.95,1.81817,1.79786,2.07131,0.6929,0.31818,0.42049,0.26315,2.10464,2.12109,2.17032,0.00171106,0.00171106,0.00171106
93,1923.44,1.84434,1.84106,2.02581,0.71634,0.38636,0.48476,0.30246,2.03806,1.70469,2.17019,0.00166228,0.00166228,0.00166228
94,1944.07,1.80953,1.74886,1.99187,0.65057,0.5,0.51263,0.2691,2.06893,1.61529,2.20007,0.00161389,0.00161389,0.00161389
95,1964.85,1.83762,1.75666,2.12111,0.6012,0.47973,0.47852,0.26981,2.14686,1.7602,2.14785,0.0015659,0.0015659,0.0015659
96,1985.34,1.7911,1.70108,2.04062,0.62593,0.5,0.49345,0.29248,2.04846,1.69482,2.02003,0.00151833,0.00151833,0.00151833
97,2005.54,1.86127,1.87266,2.07003,0.75275,0.34091,0.45243,0.26543,2.03632,1.81877,2.01786,0.0014712,0.0014712,0.0014712
98,2026.38,1.78666,1.66634,2.02662,0.70246,0.42933,0.49641,0.28531,2.11093,1.78854,2.09043,0.00142453,0.00142453,0.00142453
99,2046.97,1.81279,1.78797,1.97273,0.71862,0.47727,0.51762,0.30573,2.11256,1.68393,2.02186,0.00137834,0.00137834,0.00137834
100,2067.94,1.74329,1.65798,2.04582,0.71979,0.46725,0.52917,0.30706,2.12463,1.66004,2.06179,0.00133266,0.00133266,0.00133266
101,2089.11,1.8069,1.77379,2.08453,0.65921,0.43182,0.49535,0.29699,2.14302,1.64402,2.06631,0.0012875,0.0012875,0.0012875
102,2109.47,1.80484,1.71638,1.97477,0.54565,0.43683,0.46183,0.27862,2.1171,1.80132,2.04114,0.00124288,0.00124288,0.00124288
103,2130.34,1.76955,1.6724,1.88091,0.41515,0.43182,0.40429,0.23935,2.11393,1.90885,2.06348,0.00119883,0.00119883,0.00119883
104,2150.86,1.77621,1.70952,1.98407,0.91094,0.29545,0.44096,0.26538,2.11411,1.83108,2.03174,0.00115536,0.00115536,0.00115536
105,2171.67,1.67391,1.62772,1.97058,0.7924,0.43182,0.52117,0.31634,2.06109,1.64543,2.00011,0.00111248,0.00111248,0.00111248
106,2192.09,1.87896,1.80994,2.07874,0.77097,0.45455,0.53071,0.30693,2.0159,1.58743,1.98954,0.00107023,0.00107023,0.00107023
107,2212.69,1.71244,1.65316,2.01676,0.65546,0.5,0.54207,0.32113,1.966,1.53631,1.98508,0.00102862,0.00102862,0.00102862
108,2233.07,1.77234,1.6461,1.93986,0.66524,0.43182,0.51845,0.31084,1.98467,1.58971,2.00463,0.000987659,0.000987659,0.000987659
109,2253.42,1.76987,1.74411,2.01836,0.61834,0.47727,0.52269,0.32054,2.00904,1.64705,2.06094,0.000947376,0.000947376,0.000947376
110,2273.91,1.84906,1.84317,2.07707,0.82501,0.40909,0.51516,0.2959,2.15525,1.65984,2.18251,0.000907784,0.000907784,0.000907784
111,2294.21,1.73576,1.65219,1.97265,0.54576,0.52273,0.51967,0.29259,2.00564,1.67896,2.04378,0.000868902,0.000868902,0.000868902
112,2314.58,1.82193,1.724,2.00869,0.44216,0.54545,0.46979,0.27145,2.03212,1.82111,2.07222,0.000830746,0.000830746,0.000830746
113,2335.26,1.77,1.65359,1.93169,0.61496,0.472,0.51076,0.33062,1.92636,1.6607,1.9633,0.000793333,0.000793333,0.000793333
114,2355.49,1.68908,1.67512,1.93476,0.70586,0.40909,0.46719,0.29696,2.13767,1.76364,2.04323,0.00075668,0.00075668,0.00075668
115,2376.49,1.65743,1.62663,1.97873,0.75905,0.42965,0.49255,0.32095,1.97387,1.71312,1.98865,0.000720803,0.000720803,0.000720803
116,2397.45,1.64198,1.59161,1.91196,0.62313,0.38636,0.48918,0.29378,1.98571,1.70406,2.01857,0.000685717,0.000685717,0.000685717
117,2418.13,1.73939,1.69081,1.96257,0.69087,0.45722,0.55718,0.33122,1.97611,1.50139,1.97068,0.000651437,0.000651437,0.000651437
118,2438.47,1.78375,1.69764,2.01006,0.65759,0.43182,0.51639,0.32032,1.91673,1.52811,1.95687,0.00061798,0.00061798,0.00061798
119,2459.06,1.71669,1.64832,2.00306,0.64265,0.45455,0.49524,0.29758,1.98541,1.54885,2.02339,0.000585359,0.000585359,0.000585359
120,2479.92,1.71859,1.6602,1.88201,0.75854,0.42849,0.517,0.30848,1.99724,1.5153,2.04359,0.000553588,0.000553588,0.000553588
121,2500.63,1.68385,1.63874,1.91336,0.75068,0.36364,0.50379,0.30372,1.93733,1.55754,1.94879,0.000522683,0.000522683,0.000522683
122,2521.48,1.73854,1.65148,1.95303,0.53594,0.47727,0.47227,0.28822,1.90416,1.60383,1.99463,0.000492656,0.000492656,0.000492656
123,2542.08,1.60296,1.54871,1.92142,0.5247,0.47727,0.46687,0.29085,1.9525,1.61934,2.03553,0.00046352,0.00046352,0.00046352
124,2562.59,1.71619,1.69481,2.00145,0.53189,0.40909,0.47555,0.27097,1.96768,1.68022,1.98519,0.000435288,0.000435288,0.000435288
125,2583.1,1.68549,1.62524,1.96092,0.51348,0.43182,0.46271,0.26666,1.99769,1.65106,2.00944,0.000407973,0.000407973,0.000407973
126,2603.58,1.68494,1.70366,1.88949,0.51931,0.38636,0.47316,0.26479,2.01238,1.61676,2.01033,0.000381587,0.000381587,0.000381587
127,2624.44,1.70646,1.6397,1.96776,0.63214,0.40909,0.49578,0.29833,1.96935,1.56712,1.9867,0.000356141,0.000356141,0.000356141
128,2645.04,1.68453,1.57752,1.8938,0.6196,0.48133,0.50798,0.31369,1.95241,1.53989,1.9665,0.000331646,0.000331646,0.000331646
129,2665.55,1.59032,1.51756,1.91241,0.84084,0.36035,0.50777,0.30993,1.94677,1.61932,1.93263,0.000308113,0.000308113,0.000308113
130,2686.25,1.67126,1.54981,1.89101,0.71607,0.40144,0.48546,0.3064,1.91619,1.65522,1.91813,0.000285553,0.000285553,0.000285553
131,2706.9,1.6653,1.57513,1.89114,0.82549,0.40909,0.5382,0.32978,1.90568,1.50592,1.90326,0.000263975,0.000263975,0.000263975
132,2727.19,1.69209,1.63977,1.94651,0.7329,0.5,0.55098,0.33878,1.90309,1.46864,1.91846,0.000243389,0.000243389,0.000243389
133,2747.9,1.65301,1.58627,1.8234,0.75988,0.47727,0.56255,0.34637,1.92034,1.49038,1.92984,0.000223803,0.000223803,0.000223803
134,2768.33,1.74269,1.68981,1.91783,0.91138,0.38636,0.53839,0.31881,1.91494,1.54416,1.93513,0.000205227,0.000205227,0.000205227
135,2788.72,1.67254,1.53531,1.93512,0.77703,0.40909,0.51881,0.31304,1.92708,1.53859,1.94962,0.000187668,0.000187668,0.000187668
136,2809.13,1.68539,1.55029,1.9361,0.80368,0.38636,0.52923,0.3193,1.89142,1.54707,1.92638,0.000171135,0.000171135,0.000171135
137,2829.72,1.66019,1.61597,1.89329,0.73013,0.40909,0.52987,0.32236,1.88537,1.52736,1.91778,0.000155634,0.000155634,0.000155634
138,2850.11,1.59753,1.52691,1.8011,0.62832,0.45455,0.52989,0.32403,1.88404,1.5212,1.90004,0.000141173,0.000141173,0.000141173
139,2870.65,1.59491,1.52491,1.87856,0.62373,0.48993,0.54191,0.33364,1.88138,1.5337,1.91924,0.000127757,0.000127757,0.000127757
140,2890.96,1.64692,1.57987,1.83916,0.64011,0.47727,0.55118,0.33086,1.88931,1.49987,1.92508,0.000115392,0.000115392,0.000115392
141,2910.52,1.62022,1.58528,1.83025,0.58165,0.34091,0.43542,0.26217,2.01933,1.79882,2.00967,0.000104085,0.000104085,0.000104085
142,2929.98,1.60209,1.64372,1.96264,0.58165,0.34091,0.40535,0.25911,2.07473,1.82434,2.07469,9.38391e-05,9.38391e-05,9.38391e-05
143,2949.65,1.58987,1.59711,1.86657,0.66442,0.36364,0.44269,0.28266,2.04717,1.69313,2.03309,8.46598e-05,8.46598e-05,8.46598e-05
144,2969.21,1.56047,1.57654,1.8625,0.55552,0.45449,0.45331,0.284,2.0599,1.62737,2.04793,7.6551e-05,7.6551e-05,7.6551e-05
145,2988.88,1.62325,1.61897,1.89651,0.61186,0.43182,0.46258,0.29536,2.03085,1.62813,2.0376,6.95161e-05,6.95161e-05,6.95161e-05
146,3008.28,1.61146,1.56313,1.88937,0.64479,0.41265,0.4701,0.30169,2.00705,1.60707,2.02693,6.35583e-05,6.35583e-05,6.35583e-05
147,3027.69,1.55912,1.58399,1.81704,0.74685,0.38636,0.46772,0.30651,1.99302,1.61558,2.01649,5.86802e-05,5.86802e-05,5.86802e-05
148,3047.22,1.49937,1.57559,1.82605,0.61756,0.43182,0.49255,0.30942,1.95543,1.60778,1.98992,5.48838e-05,5.48838e-05,5.48838e-05
149,3066.8,1.5169,1.47819,1.79571,0.61433,0.40909,0.46589,0.2808,1.95431,1.63842,1.9982,5.2171e-05,5.2171e-05,5.2171e-05
150,3086.34,1.46637,1.51396,1.82611,0.62929,0.43182,0.46956,0.28133,1.95546,1.63529,1.98984,5.05428e-05,5.05428e-05,5.05428e-05
